name,checked_synonym,accepted_name,author
Acanthocereus subinermis Br. & R.,Acanthocereus subinermis,Acanthocereus tetragonus,(L.) Hummelinck
Acantholimon diapensioides Boiss.,Acantholimon diapensioides,Acantholimon diapensioides,Boiss.
Acantholimon tataricum Boiss.,Acantholimon tataricum,Acantholimon tataricum,Boiss.
Acanthopanax lasiogyne Harms,Acanthopanax lasiogyne,Eleutherococcus lasiogyne,(Harms) S.Y.Hu
Acanthopanax spinosus Miq.,Acanthopanax spinosus,Eleutherococcus spinosus,(L.f.) S.Y.Hu
Acanthopanax sessiliflorus Seem.,Acanthopanax sessiliflorus,Eleutherococcus sessiliflorus,(Rupr. & Maxim.) S.Y.Hu
Acanthosicyos horrida Welw.,Acanthosicyos horridus,Acanthosicyos horridus,Welw. ex Benth. & Hook.f.
"circinatum Acer corcomati, Pursh.",Acer,Acer,L.
Acer giraldie Pax,Acer giraldii,Acer caesium subsp. giraldii,(Pax) A.E.Murray
Acer mono Maxim. var. mono,Acer,Acer,L.
Acer syriacum Boiss. & Gail,Acer syriacum,Acer obtusifolium,Sm.
Achillea Lewisii (A. tomentosa X    A. argentea,Achillea,Achillea,L.
Achillea millefolium var. rosea,Achillea millefolium var. rosea,Achillea millefolium subsp. millefolium,
Achillea nana L.,Achillea nana,Achillea nana,L.
Achillea taygetea Boiss. & Heldr.,Achillea taygetea,Achillea taygetea,Boiss. & Heldr.
Achillea tournefortii D.C.,Achillea tournefortii,Achillea aegyptiaca,L.
Achillea umbellata Sibth.,Achillea umbellata,Achillea umbellata,Sm.
Y Mart. Acharanthes splendens ex Moq.,Achyranthes splendens,Achyranthes splendens,Mart. ex Moq.
Achras zapota not some,Achras zapota,Manilkara zapota,(L.) P.Royen
Achras Arachis Zapota (ZAPOTA),Achras,Manilkara,Adans.
Acianthus exsertus R.Br.,Acianthus exsertus,Acianthus exsertus,R.Br.
Acicarpha pinnatifida Miers,Acicarpha pinnatifida,Acicarpha tribuloides,Juss.
Acineta densa Lindl.&Paxt.,Acineta densa,Acineta densa,Lindl.
Acinos rotundifolius Pers.,Acinos rotundifolius,Clinopodium alpinum subsp. alpinum,
Aciphylla scott -thomsonii Ckn. & Allen,Aciphylla,Aciphylla,J.R.Forst. & G.Forst.
Acmena smithii Mer. & L.M. Perry,Acmena smithii,Syzygium smithii,(Poir.) Nied.
Akobanthera,Acokanthera,Acokanthera,G.Don
Acocanthera venenata G. Don,Acokanthera venenata,Acokanthera oppositifolia,(Lam.) Codd
Aconitum excelsum Rehb,Aconitum excelsum,Aconitum septentrionale,Koelle
Acostaea costaricensis Schltr.,Acostaea costaricensis,Specklinia colombiana,(Garay) Pridgeon & M.W.Chase
Acridocarpus socotranana Schlechter,Acridocarpus socotranus,Acridocarpus socotranus,Oliv.
