name,checked_synonym,accepted_name,author
Chiapasia nelsonii (Britt. & Rose) Britt & Rose,Chiapasia nelsonii,Disocactus nelsonii,(Britton & Rose) Linding.
Chlidanthus bolivianus Traub & Nelson,Chlidanthus boliviensis,Chlidanthus boliviensis,Traub & I.S.Nelson
Chileorebutia odieri (Tem.) Ritt.,Chileorebutia odieri,Eriosyce odieri,(Lem. ex Salm-Dyck.) Katt.
Chiranthodendron platanoides Baill.,Chiranthodendron platanoides,Chiranthodendron pentadactylon,Larreat.
Chloranthus inconspicuus Sw.,Chloranthus inconspicuus,Chloranthus spicatus,(Thunb.) Makino
Chloranthus japonicus,Chloranthus japonicus,Chloranthus serratus,(Thunb.) Roem. & Schult.
"Chloris distichophylla Lag. det. J.R. Swallen, 1965",Chloris distichophylla,Eustachys distichophylla,(Lag.) Nees
Chondropetalum microcarpum,Chondropetalum microcarpum,Elegia microcarpa,(Kunth) Moline & H.P.Linder
Chondrorhyncha caloglossa (Schltr.)P. Allen,Chondrorhyncha caloglossa,Stenotyla picta,(Rchb.f.) Dressler
Chordospartium stevensoni Cheeseman,Chordospartium stevensonii,Carmichaelia stevensonii,(Cheeseman) Heenan
Choretrum glomeratum R. Br.,Choretrum glomeratum,Choretrum glomeratum,R.Br.
Chorisia insignis H.B.K.,Chorisia insignis,Ceiba insignis,(Kunth) P.E.Gibbs & Semir
Chorizanthe fimbriata Nutt.,Chorizanthe fimbriata,Chorizanthe fimbriata,Nutt.
Chorizema cordatum Lindl.,Chorizema cordatum,Chorizema cordatum,Lindl.
Chorizema dicksonii Grah.,Chorizema dicksonii,Chorizema dicksonii,Graham
Chorizema ilicifolium Labill.,Chorizema ilicifolium,Chorizema ilicifolium,Labill.
Chrozophora hierosolymitana Spreng.,Chrozophora hierosolymitana,Chrozophora tinctoria,(L.) A.Juss.
Chrysanthemum frutescens L.,Chrysanthemum frutescens,Argyranthemum frutescens subsp. frutescens,
Chrysanthemum mawii Hook. f.,Chrysanthemum mawii,Rhodanthemum gayanum subsp. gayanum,
Chrysanthemum maximum Ramond var. majestic,Chrysanthemum,Chrysanthemum,L.
Chrysanthemum maximum Ramond var. Mark Riegal,Chrysanthemum maximum,Leucanthemum maximum,(Ramond) DC.
Chuquiraga rotundifolia Wedd. det. R. Ferryra 1965,Chuquiraga rotundifolia,Chuquiraga spinosa subsp. rotundifolia,(Wedd.) C.Ezcurra
Chuquiragua spinosa D. Don,Chuquiraga spinosa,Barnadesia dombeyana,Less.
Chuquiraga ulicina Hook. & Arn. var. incana (Phil.) Johnston,Chuquiraga ulicina var. incana,Chuquiraga ulicina subsp. ulicina,
Cicca Cicca acida,Cicca acida,Phyllanthus acidus,(L.) Skeels
Cinnamomum cassia (Nees)Nees ex Blume,Cinnamomum cassia,Neolitsea cassia,(L.) Kosterm.
Cinnamomum aff. tetragonum A. Chev.,Cinnamomum,Cinnamomum,Schaeff.
Circaea alpina L.var. pacifica (Asch. & Magnus) Jones,Circaea alpina var. pacifica,Circaea alpina subsp. pacifica,(Asch. & Magnus) P.H.Raven
Cirrhopetalum longiflorum (Th.) Schltr.,Cirrhopetalum longiflorum,Bulbophyllum longiflorum,Thouars
Cirsium subcoriaceum (Less.) Sch. Bip.,Cirsium subcoriaceum,Cirsium subcoriaceum,(Less.) Sch.Bip.
Cissus aralioides Planch.,Cissus aralioides,Cissus aralioides,(Welw. ex Baker) Planch.
Cissus arguta Hook. f.,Cissus arguta,Cissus arguta,Hook.f.
Cissus betaeformis Chiov.,,,
Cissus cramerianas Schinz,Cissus crameriana,Cyphostemma currorii,(Hook.f.) Desc.
Cissus cf. dinteri Gil.,Cissus,Cissus,L.
Cissus discolor Blume,Cissus discolor,Cissus discolor,Blume
Cissus aff susaphylle,Cissus sue,Cissus sue,Gilg & M.Brandt
Cistus corbariensis Pourr.,Cistus canariensis,Helianthemum canariense,(Jacq.) Pers.
Cistus incanus L.,Cistus canus,Helianthemum canum,(L.) Hornem.
Cistus symphytifolium Lam. var. hirsutissimus (Willk.),Cistus symphytifolius var. hirutissimus,Cistus symphytifolius,Lam.
Citriobatus multiflorus,Citriobatus multiflorus,Pittosporum multiflorum,"(A.Cunn. ex Benth.) L.W.Cayzer, Crisp & I.Telford"
Citrus grandis Osbeck,Citrus grandis,Citrus maxima,(Burm.) Merr.
Citrus sinensis (L.) Osbeck 'SANGUINELLA',Citrus,Citrus,L.
Cladothamnus pyrolaeflorus Bong.,Cladothamnus pyroliflorus,Elliottia pyroliflora,(Bong.) S.W.Brim & P.F.Stevens
Clarkia epilobioides (Nutt.)Nels. & Macbr.,Clarkia epilobioides,Clarkia epilobioides,(Nutt.) A.Nelson & J.F.Macbr.
Clarkia stellata,Clarkia stellata,Clarkia stellata,Mosquin
Claytonia nevadensis Wats.,Claytonia nevadensis,Claytonia nevadensis,S.Watson
Claytonia umbellata Wats.,Claytonia umbellata,Montiopsis umbellata,(Ruiz & Pav.) D.I.Ford
Cleistocactus angosturensis Cárdenas,Cleistocactus angosturensis,Cleistocactus buchtienii,Backeb.
Cleistocactus Baumannii Lem.,Cleistocactus,Cleistocactus,Lem.
Cleistocactus Baumannii Lem. var. colubrinus Otto,Cleistocactus,Cleistocactus,Lem.
Cleistocactus Baumannii Lem. var. colubrinus Lex. Marsh.,Cleistocactus,Cleistocactus,Lem.
Cleistocactus baumannii (Lem.) var. flavispinus (SD.)Ricc.,Cleistocactus baumannii var. flavispinus,Cleistocactus baumannii subsp. baumannii,
Cleistocactus candelilla Cardenas var. pojoensis Cardenas,Cleistocactus candelilla var. pojoensis,Cleistocactus candelilla,Cárdenas
Cleistocactus crassicavilis Card.,Cleistocactus crassicaulis,Cleistocactus crassicaulis,Cárdenas
Cleistocactus dependens Card.,Cleistocactus dependens,Cleistocactus dependens,Cárdenas
Cleistocactus herzogianus Bckbg.,Cleistocactus herzogianus,Cleistocactus parviflorus,(K.Schum.) Rol.-Goss.
Cleistocactus morawetzianus Backeberg,Cleistocactus morawetzianus,Cleistocactus morawetzianus,Backeb.
Cleistocactus morawetzianus Backeb. var. pyenacanthus Rauh & Backeb.,Cleistocactus morawetzianus var. pycnacanthus,Cleistocactus morawetzianus,Backeb.
Cleistocactus morawetzianus Backeb. var. py.cnacanthus Rauh & Backeb.,Cleistocactus,Cleistocactus,Lem.
Cleistocactus morawetzianus Backeb. var. pycnacanthus Rauh & Backeb.,Cleistocactus morawetzianus var. pycnacanthus,Cleistocactus morawetzianus,Backeb.
Cleistocactus otuyensis Ritter,Cleistocactus jujuyensis,Cleistocactus hyalacanthus,(K.Schum.) Rol.-Goss.
Cleistocactus parapetiensis Card.,Cleistocactus parapetiensis,Cleistocactus smaragdiflorus,(F.A.C.Weber) Britton & Rose
Cleistocactus pilcomayoensis Ritter,Cleistocactus,Cleistocactus,Lem.
Cleistocactus reae Card.,Cleistocactus reae,Cleistocactus buchtienii,Backeb.
Cleistocactus rojoi Cardenas,Cleistocactus rojoi,Cleistocactus smaragdiflorus,(F.A.C.Weber) Britton & Rose
Cleistocactus ? smaragdiflorus (Weber) Br. & R.,Cleistocactus,Cleistocactus,Lem.
Cleistocactus sotomayorensis Ritter ms.,Cleistocactus,Cleistocactus,Lem.
Cleistocactus Strausii (Heese) Bckbg.,Cleistocactus,Cleistocactus,Lem.
Clematis dioica L.,Clematis dioica,Clematis dioica,L.
Clematis grossa,Clematis grossa,Clematis grossa,Benth.
Clematis indivisa Willd.,Clematis indivisa,Clematis aristata,R.Br. ex Ker Gawl.
Clematis longicauda,Clematis longicauda,Clematis longicauda,Steud. ex A.Rich.
Clematis manschurica-Rupr. recta L.,Clematis mandshurica,Clematis terniflora var. mandshurica,(Rupr.) Ohwi
Cleome chilensis DC.,Cleome chilensis,Cleome chilensis,DC.
Cleome diandra,Cleome diandra,Cleome angustifolia subsp. diandra,(Burch.) Kers
Cleome hirta Oliver,Cleome hirta,Cleome hirta,(Klotzsch) Oliv.
Cleome Glematto testentha lutea Hook.,Clematis,Clematis,L.
Cleome trachycarpa Klotzsch ex Eichl.,Cleome trachycarpa,Cleome trachycarpa,Klotzsch ex Eichler
Clermontia montis-loa Rock,Clermontia montis-loa,Clermontia montis-loa,Rock
Clermontia oblongifolia Gaud.,Clermontia oblongifolia,Clermontia oblongifolia,Gaudich.
Clermontia parviflora Gaud.,Clermontia parviflora,Clermontia parviflora,Gaudich. ex A.Gray
Clermontia reticulata St. John,Clermontia reticulata,Clermontia grandiflora subsp. munroi,(H.St.John) Lammers
um Clerodendren yunnanense Hu,Clerodendrum yunnanense,Clerodendrum yunnanense,Hu
Clethra arborea,Clethra arborea,Clethra arborea,Aiton
"Clethra castaneifolia Meisn. det. J. J. Wurdack, 1966",Clethra castaneifolia,Clethra castaneifolia,Meisn.
Clethra fimbriata,Clethra fimbriata,Clethra fimbriata,Kunth
Clethra palustris,Clethra,Clethra,L.
Clethra suaveolens Turcz.,Clethra suaveolens,Clethra suaveolens,Turcz.
Cleyera japonica Thumb. var. morii Masamune,Cleyera japonica var. morii,Cleyera japonica var. japonica,
Clianthus formosus (G. Don) Ford & Vickery,Clianthus formosus,Swainsona formosa,(G.Don) Joy Thomps.
Clianthus puniceus var. albus,Clianthus,Clianthus,Sol. ex Lindl.
Clibadium arboreum Conn. Sm.,Clibadium arboreum,Clibadium arboreum,Donn.Sm.
Clédemia pilosa D. Don det. J. Wurdack 1965,Ion,Viola,L.
Clidemia pilosa D. Don,Clidemia pilosa,Miconia pilosa,(Sw.) Judd & Ionta
Clitoria ternatea L. var. alba,Clitoria ternatea var. alba,Clitoria ternatea,L.
Clusia lundellii Jacq.,Clusia lundellii,Clusia lundellii,Standl.
Cobaea pachysepala Standl.,Cobaea pachysepala,Cobaea pachysepala,Standl.
Coccothrinax alta (O.F. Cook) Becc.,Coccothrinax alta,Coccothrinax alta,(O.F.Cook) Becc.
Coccocypselum hirsutum Bartl. vel aff.,Coccocypselum hirsutum,Coccocypselum hirsutum,Bartl. ex DC.
Cocculus balfourii Schweinf. ex Balf. f.,Cocculus balfourii,Cebatha balfourii,(Schweinf. ex Balf.f.) Kuntze
Cochlospermum heteroneurum Benth.,Cochlospermum heteronemum,Cochlospermum fraseri subsp. heteronemum,(F.Muell.) Poppend.
Cochlespermum planchoni HK. f.,Cochlospermum planchonii,Cochlospermum planchonii,Hook.f. ex Planch.
Codonocarpus continifolius F. Muell.,Codonocarpus cotinifolius,Codonocarpus cotinifolius,(Desf.) F.Muell.
Codonocarpus cotinifolius F.Muell.,Codonocarpus cotinifolius,Codonocarpus cotinifolius,(Desf.) F.Muell.
Codon royenii D,Codon royenii,Codon royenii,L.
Codonopsis subsimples Hook. f. &Th.,Codonopsis subsimplex,Codonopsis subsimplex,Hook.f. & Thomson
Coffea khasiensis,Coffea kihansiensis,Coffea kihansiensis,A.P.Davis & Mvungi
Coix aquatica Roxb.,Coix aquatica,Coix aquatica,Roxb.
Coix lacRyma-jobi var. ma-yuen Stpf.,Coix,Coix,L.
Colchicum cupanii Gussone,Colchicum cupanii,Colchicum cupanii,Guss.
Colchicum hungaricum Janka,Colchicum hungaricum,Colchicum hungaricum,Janka
Colchicum speciosum 'ATRORUBEY WS',Colchicum,Colchicum,L.
Colchicum steveni Kth.,Colchicum stevenii,Colchicum stevenii,Kunth
Coleonema album Bart1. & Wendl.,Coleonema album,Coleonema album,(Thunb.) Bartl. & H.L.Wendl.
Coleonema pulchrum Hook.,Coleonema pulchrum,Coleonema pulchrum,Hook.
Collinsia corymbosa Herder,Collinsia corymbosa,Collinsia corymbosa,Herder
Collinsia heterophy 11a Buist ex Grah.,Collinsia heterophylla,Collinsia heterophylla,Buist ex Graham
Collinsia wrightii S. Wats.,Collinsia wrightii,Collinsia wrightii,S.Watson
Colocasia esculenta (L.) var. illustris (Bull.)A.F.Hill,Colocasia esculenta var. illustris,Colocasia esculenta,(L.) Schott
Colophospermum mopane (Kirk ex Benth.)J. Leon.,Colophospermum mopane,Colophospermum mopane,(J.Kirk ex Benth.) J.Kirk ex J.Léonard
Coloradoa mesa-verdae Bois.,Coloradoa mesae-verdae,Sclerocactus mesae-verdae,(Boissev. & C.Davidson) L.D.Benson
Columnea percrassa C. V. Morton TOPOTYPE det. C. V. Morton 1966,Columnea percrassa,Columnea billbergiana,Beurl.
Colutea orientalis Mill.,Colutea orientalis,Colutea orientalis,Mill.
Comarostaphylis arguta Zucc.,Comarostaphylis arguta,Comarostaphylis discolor subsp. discolor,
Comarostaphy] las diversifolia (Parry) Greene,Comarostaphylis,Comarostaphylis,Zucc.
Comarostaphyl DS diversifolia (Parry) Greene var. planifolia Jepson,Greenea,Greenea,Wight & Arn.
Comarostaphyllis diversifolia (Parry) Greene var. planifolia Jeps.,Comarostaphylis diversifolia var. planifolia,Comarostaphylis diversifolia subsp. planifolia,(Jeps.) G.D.Wallace
Comarostaphylis rupestris Small,Comarostaphylis rupestris,Comarostaphylis discolor subsp. rupestris,(B.L.Rob. & Seaton) Diggs
Combretum zeyheri Stond.,Combretum zeyheri,Combretum zeyheri,Sond.
Combretum millerianum Burtt Davy,Combretum millerianum,Combretum collinum subsp. suluense,(Engl. & Diels) Okafor
Comesperma confertum Labill.,Comesperma confertum,Comesperma confertum,Labill.
Commelina coelestis Willd.,Commelina coelestis,Commelina tuberosa,L.
Commersonia pulchella Turcz.,Commersonia pulchella,Androcalva pulchella,(Turcz.) C.F.Wilkins & Whitlock
Condaliopsis parryi (Torr.)Suesseng. in Engler & Prantl.,Condaliopsis parryi,Pseudoziziphus parryi,(Torr.) Hauenschild
Conocarpus erectus L.,Conocarpus erectus,Conocarpus erectus,L.
Conophyllum grande (N.E.Br.) Bolus,Conophyllum grande,Mitrophyllum grande,N.E.Br.
Bonophyllum Herrei L. Bol.,Conophyllum,Mitrophyllum,Schwantes
Conophytum bicarinatum L.Bol.,Conophytum bicarinatum,Conophytum bicarinatum,L.Bolus
Conophytum caespitosum Tisch.,Conophytum,Conophytum,N.E.Br.
Conophytum elongatum Schick et Tischer,Conophytum elongatum,Conophytum hians,N.E.Br.
Conophytum fissum Tisch.,Conophytum miserum,Conophytum hians,N.E.Br.
Conophytum hians N.E.Br.,Conophytum hians,Conophytum hians,N.E.Br.
khamiesbergense (LeBol.) Conophytum (berrisfordia) Bol.,,,
Conophytum luisae Schwant.,Conophytum luiseae,Conophytum bilobum subsp. altum,(L.Bolus) S.A.Hammer
Conophytum luteum N.E.Br.,Conophytum luteum,Conophytum flavum subsp. flavum,
Conophytum piluliforme (N.E.Br.)N.E.Br.,Conophytum piluliforme,Conophytum piluliforme,(N.E.Br.) N.E.Br.
Conophytim polulum N.E.Br.,Conophytum polulum,Conophytum minimum,(Haw.) N.E.Br.
Conophytum polulum N.E.Br.,Conophytum polulum,Conophytum minimum,(Haw.) N.E.Br.
Conophytum uvaeforme . N.E. Brown,Conophytum uviforme,Conophytum uviforme,(Haw.) N.E.Br.
Conospermum densi florum Lindl.,Conospermum,Conospermum,Sm.
Conospermun patens Schlechtd.,Conospermum patens,Conospermum patens,Schltdl.
Convolvulus malacophyllus Greene,Convolvulus malacophyllus,Calystegia malacophylla,(Greene) Munz
Convolvulus soldanella L.,Convolvulus soldanella,Calystegia soldanella,(L.) Roem. & Schult.
Conzattia sericea,Conzattia sericea,Conzattia sericea,Standl.
Cooperia drummondii Herb.,Cooperia drummondii,Zephyranthes chlorosolen,(Herb.) D.Dietr.
Cooperia pedunculata Herb.,Cooperia pedunculata,Zephyranthes drummondii,D.Don
Copiapoa off conglomerata,Copiapoa,Copiapoa,Britton & Rose
Copiapoa hypogea Ritt.,Copiapoa hypogaea,Copiapoa hypogaea,F.Ritter
Copiapoa intermedia Ritt,Copiapoa,Copiapoa,Britton & Rose
Copiapoa Pepiniana (Schum.) Backeberg,Copiapoa,Copiapoa,Britton & Rose
ernodeoides Gray  Coprosma,,,
Coprosma hirtella Labill.,Coprosma hirtella,Coprosma hirtella,Labill.
Coproma hirtella Labill.,Coprosma hirtella,Coprosma hirtella,Labill.
Coprosma petriei Cheesem.,Coprosma petriei,Coprosma petriei,Cheeseman
Coprosma repens Hook,Coprosma repens,Coprosma repens,A.Rich.
Corallocarpus glomeruliflorus Schweinf.,Corallocarpus glomeruliflorus,Corallocarpus glomeruliflorus,(Deflers) Cogn.
Coralloriniza so.,Corallorhiza,Corallorhiza,Gagnebin
Corallorhiza maculata Raf.,Corallorhiza maculata,Corallorhiza maculata,Raf.
Cordia gharaf (Forsk.)Ehrenb. ex Aschers,Cordia gharaf,Cordia sinensis,Lam.
Cordylanthus filifolius Nutt. ex Benth,Cordylanthus filifolius,Cordylanthus rigidus subsp. rigidus,
Coreopsis californica (Nutt.) H.K. Sharsmith,Coreopsis californica,Leptosyne californica,Nutt.
Coreopsis connata Cabr. det. J. Cuatrecasas 1965,Coreopsis connata,Burnellia connata,(Cabrera) Mesfin & D.J.Crawford
Coreopsis douglasii (DC.) Hall,Coreopsis douglasii,Leptosyne douglasii,DC.
Coreopsis insecta S. Moore,Coreopsis insecta,Bidens kirkii,Sherff
Coreopsis mutica DC.,Coreopsis mutica,Electranthera mutica,"(DC.) Mesfin, D.J.Crawford & Pruski"
Coriandrum sativum L. var. sativum,Coriandrum sativum var. asiaticum,Coriandrum sativum,L.
Coriaria angustissima Hook. f.,Coriaria angustissima,Coriaria angustissima,Hook.f.
Coriaria japonica A. Gray,Coriaria japonica,Coriaria japonica,A.Gray
Benthamidia cornus Cornus capitata(Wall.) Hara,Benthamidia,Cornus,L.
Corokia macrocarpa T.Kirk,Corokia macrocarpa,Corokia macrocarpa,Kirk
Coronilla coronata L.,Coronilla coronata,Coronilla coronata,L.
Coronilla glauca L.,Coronilla glauca,Coronilla valentina subsp. glauca,(L.) Batt.
Correa magnifica,,,
Correa pulchella Mackay ex Sweet,Correa pulchella,Correa pulchella,J.B.Mackay ex Sweet
Correa ventricosa Hort ex Thurston,Correa ventricosa,Correa reflexa var. reflexa,
Corrigiola telephifolia Pourr.,Corrigiola telephiifolia,Corrigiola telephiifolia,Pourr.
Corryocactus (Erdisia) aureus (Meyen) Hutchis.,Corryocactus,Corryocactus,Britton & Rose
Corryocactus ayacuchoensis R. & B. var. leucanthus R. & B.,Corryocactus ayacuchoensis var. leucacanthus,Corryocactus ayacuchoensis,Rauh & Backeb.
Corryocactus ayopayanus Cardenas,Corryocactus ayopayanus,Corryocactus ayopayanus,Cárdenas
Corryocactus chachapoyensis fochoa & Backeb.) Hutchison,Corryocactus chachapoyensis,Corryocactus chachapoyensis,Ochoa & Backeb. ex D.R.Hunt
Corryocactus maximus (Backeb.) Hutchis.,Corryocactus maximus,Corryocactus apiciflorus,(Vaupel) Hutchison
Corryocactus melanotrichus (Kr. Schum.) Br. & R. var. caulenscens Cardenas,Corryocactus melanotrichus var. caulescens,Corryocactus melanotrichus,(K.Schum.) Britton & Rose
Corryocactus Perezianus Cardenas,Corryocactus,Corryocactus,Britton & Rose
Corryocactus squarrosus (Vaupel) Hutchisl,Corryocactus squarrosus,Corryocactus squarrosus,(Vaupel) Hutchison
Corryocactus tarijensis Cardenas,Corryocactus tarijensis,Corryocactus tarijensis,Cárdenas
Corryocactus tenviculus (Backeb.) Hutchis.,Corryocactus tenuiculus,Corryocactus apiciflorus,(Vaupel) Hutchison
Corryocactus tenuiculus (Backeb.) Hutchis.,Corryocactus tenuiculus,Corryocactus apiciflorus,(Vaupel) Hutchison
Corryocactus tristis Johnson,Corryocactus,Corryocactus,Britton & Rose
Cortaderia atacamensis (Philippi)Pilger,Cortaderia atacamensis,Cortaderia atacamensis,(Phil.) Pilg.
Cortaderia selloana (Schult.)Aschers. & Graebn.,Cortaderia selloana,Cortaderia selloana,(Schult. & Schult.f.) Asch. & Graebn.
Cortusa turkestanica A. Los.,Cortusa turkestanica,Primula matthioli subsp. turkestanica,(Losinsk.) Kovt.
Corydalis caseana Gray,Corydalis caseana,Corydalis caseana,A.Gray
Corydalis cava (L.) Schw. & Koerte ssp. marchalliana (Pall.) Hay,Corydalis cava subsp. marschalliana,Corydalis cava subsp. marschalliana,(Willd.) Hayek
Corydalis chaerophylla DC.,Corydalis chaerophylla,Corydalis chaerophylla,DC.
Corydalis halleri Will.,Corydalis halleri,Corydalis solida subsp. solida,
Corydalis stricta Steph.,Corydalis stricta,Corydalis stricta,Stephan ex DC.
Coryphantha aggregata (Engelmann),Coryphantha aggregata,Pelecyphora vivipara,(Nutt.) D.Aquino & Dan.Sánchez
Coryphant bergeriana,Corypha,Corypha,L.
Coryphantha bumamma (Ehrenbg.) Br. & R.,Coryphantha bumamma,Coryphantha elephantidens subsp. bumamma,(Ehrenb.) Dicht & A.Lüthy
Coryphantha connivens Br.& R.,Coryphantha connivens,Coryphantha pycnacantha,(Mart.) Lem.
Coryphantha daemonoceras,Coryphantha daimonoceras,Coryphantha cornifera,(DC.) Lem.
Coryphantha deserti (Engelm.) Br. & R.,Coryphantha deserti,Pelecyphora vivipara,(Nutt.) D.Aquino & Dan.Sánchez
Coryphantha echinoidea,Coryphantha echinoidea,Coryphantha echinoidea,(Quehl) Britton & Rose
Coryphanta jaumavei,Coryphantha jaumavei,Coryphantha delicata,L.Bremer
Coryphantha nellieae (Escobaria) Croizat,Coryphantha nellieae,Pelecyphora minima,(Baird) D.Aquino & Dan.Sánchez
Coryphantha pectinata (Eng.)Br. & R.,Coryphantha pectinata,Coryphantha echinus,(Engelm.) Orcutt
Coryphantha pycnacantha (Mart) Lem.,Coryphantha pycnacantha,Coryphantha pycnacantha,(Mart.) Lem.
Coryphantha rhaphidacantha,Coryphantha raphidacantha,Coryphantha clavata subsp. clavata,
Coryphantha schwarziana,Coryphantha schwarziana,Coryphantha cornifera,(DC.) Lem.
Cosmos sul phureus Cav.,Cosmos,Cosmos,Cav.
Cotoneaster adpressa praecox,Cotoneaster adpressus,Cotoneaster adpressus,Bois
Cotoneaster conspicua,,,
Cotoneaster dammeri Schneid. var. radicans Schneid.,Cotoneaster dammeri var. radicans,Cotoneaster radicans,(Dammer ex C.K.Schneid.) G.Klotz
Cotoneaster harrysmithii Flinck & Hylmo,Cotoneaster harrysmithii,Cotoneaster nitens,Rehder & E.H.Wilson
Cotoneaster lactea,Cotoneaster lacei,Cotoneaster roseus,Edgew.
Cotoneaster microphylla Wall. var. cochleata,Cotoneaster,Cotoneaster,Medik.
Cotoneaster microphylla Wall. var. glacialis Hook.,Cotoneaster microphyllus var. glacialis,Cotoneaster microphyllus,Wall. ex Lindl.
Cotoneaster parneyi Hort.,,,
Cotoneaster rothschildianus Hort.,Cotoneaster,Cotoneaster,Medik.
Cotoneaster splendens Flinck & Hylmo,Cotoneaster splendens,Cotoneaster splendens,Flinck & B.Hylmö
Cotula coronopifolia L.,Cotula coronopifolia,Cotula coronopifolia,L.
Cotula pyrethrifolia Hook. f.,Cotula pyrethrifolia,Leptinella pyrethrifolia,(Hook.f.) D.G.Lloyd & C.J.Webb
Cotyledon Barbeyi Scheinf.,Cotyledon,Cotyledon,L.
Cotyledon aff. Barbeyi Scheinf. ex Penzio,Cotyledon,Cotyledon,L.
Cotyledon cacalicides L. f.,Cotyledon cacalioides,Tylecodon wallichii subsp. ecklonianus,(Harv.) Toelken
Cotyledon coruscans Haw.,Cotyledon coruscans,Cotyledon orbiculata var. oblonga,(Haw.) DC.
Cotyledon corkscans Haw.,Cotyledon coruscans,Cotyledon orbiculata var. oblonga,(Haw.) DC.
Cotyledon decussata Sims,Cotyledon decussata,Cotyledon orbiculata var. orbiculata,
Cotyledon flanagani Schoenl. & Bak. f.,Cotyledon flanaganii,Cotyledon flanaganii,Schönland & Baker f.
Cotyledon grandiflora Burm. f.,Cotyledon grandiflora,Tylecodon grandiflorus,(Burm.f.) Toelken
Cotyledon hallii,Cotyledon hallii,Tylecodon hallii,(Toelken) Toelken
Cotyledon luteosquamata Poelln.,Cotyledon luteosquamata,Tylecodon pearsonii,(Schönland) Toelken
Cotyledon nr. orbiculata L.,Cotyledon,Cotyledon,L.
Cotyledon aff. orbiculata,Cotyledon,Cotyledon,L.
Cotyledon orbiculata L. var. oophylla Dinter,Cotyledon,Cotyledon,L.
Cotyledon pearsonii Schoenl.,Cotyledon pearsonii,Tylecodon pearsonii,(Schönland) Toelken
Cotyledon pillansii Schonl.,Cotyledon pillansii,Cotyledon cuneata,Thunb.
Cotyledon pygmaea Barker,Cotyledon pygmaea,Tylecodon pygmaeus,(W.F.Barker) Toelken
Cotyledon reticulata Thunb.,Cotyledon reticulata,Tylecodon reticulatus,(L.f.) Toelken
Cotyledon aff. rubrovenosa Dint.,Cotyledon,Cotyledon,L.
Cotyledon salzmannii ssp. intermedia var. variegata Gatt. & Maire,Cotyledon,Cotyledon,L.
Cotyledon schaeferiana Dint.,Cotyledon schaeferiana,Tylecodon schaeferianus,(Dinter) Toelken
Cotyledon sinus-alexandri v.P.,Cotyledon sinus-alexandri,Tylecodon schaeferianus,(Dinter) Toelken
Cotyledon umbilicus,Cotyledon ombilicus,Umbilicus rupestris,(Salisb.) Dandy
Cotyledon velutina Hook.,Cotyledon velutina,Cotyledon velutina,Hook.f.
Cotyledon velutina Hook. f. var. beckeri (Schonl. & Bak. f.),Cotyledon,Cotyledon,L.
Cotyledon ventricosa Burm. F.,Cotyledon ventricosa,Tylecodon ventricosus,(Burm.f.) Toelken
Crambe arborea Webb ex Christ var. indivisa Svent.,Crambe arborea var. indivisa,Crambe arborea,Webb ex Christ
Crambe gigantea (Ceb. & Ort.) Bramw.,Crambe gigantea,Crambe gigantea,(Ceballos & Ortuño) Bramwell
Crambe kotschyanus Boiss.,Crambe kotschyana,Crambe cordifolia subsp. kotschyana,(Boiss.) Jafri
Crassula abyssinica A Rich.,Crassula abyssinica,Crassula alba var. alba,
Crassula acutifolia Lam.,Crassula acutifolia,Crassula ruamahanga,A.P.Druce
Crassula asstonii Marl.,Crassula alstonii,Crassula alstonii,Marloth
Crassula alstonii Marl.,Crassula alstonii,Crassula alstonii,Marloth
Crassula aff. ausiensis Hutchison,Crassula,Crassula,L.
Crassula aff. rupestris Thenb.,Crassula,Crassula,L.
Crassula barbata Thunbg.,Crassula barbata,Crassula barbata,Thunb.
Crassyla bolusii Hook f.,Crassula bolusii,Crassula cooperi var. cooperi,
Crassula browniana Burtt-Davy.,Crassula browniana,Crassula expansa subsp. fragilis,(Baker) Toelken
Crassula nr. ciliata,Crassula,Crassula,L.
"ISOTYPE Crassula citrea P.C. Hutchison, sp. nov.",Crassula cinerea,Crassula atropurpurea var. cultriformis,(Friedrich) Toelken
Crassula aff. clavifolia (E. Mey.) Harr.,Crassula,Crassula,L.
Crassula coleae Bak.,Crassula coleae,Crassula volkensii subsp. coleae,(Baker) Wickens & M.Bywater
Crassula aff. columnaris,Crassula,Crassula,L.
Crassula dasyphylla Harvey,Crassula dasyphylla,Crassula corallina subsp. corallina,
Crassula dregei (Harv.)Schoenl.,Crassula dregei,Crassula pellucida subsp. brachypetala,(E.Mey. ex Harv.) Toelken
Crassula ? elegans Schoenl. & Bak. f.,Crassula,Crassula,L.
Crassula heterotricha Schinz,Crassula heterotricha,Crassula perfoliata var. heterotricha,(Schinz) Toelken
Crassulaeeae Hottentotta Marl. & Schoenl.,Crassularia,Crassula,L.
Crassula karasana Friedr. ined.,Crassula karasana,Crassula ausensis subsp. ausensis,
Crassula Klinghardtensis,Crassula klinghardtensis,Crassula sericea var. sericea,
Crassula klinghardtensis Schoenl.,Crassula klinghardtensis,Crassula sericea var. sericea,
Crassula aff. lanuginosa Harv.,Crassula,Crassula,L.
Crassula lettyae Phillips,Crassula lettyae,Crassula barbata subsp. barbata,
Crassula marginalis sol.,Crassula marginalis,Crassula pellucida subsp. marginalis,(Aiton) Toelken
merxmuelleri Friedr. ined. grassula,Merxmuellera,Merxmuellera,Conert
